product_id,product_name,category,price
1,Assimilated needs-based middleware,Home & Kitchen,29.45
2,Innovative grid-enabled Local Area Network,Electronics,152.12
3,Sharable context-sensitive open system,Home & Kitchen,372.18
4,Upgradable upward-trending Internet solution,Home & Kitchen,118.42
5,Persistent bottom-line monitoring,Electronics,79.43
6,Progressive static knowledgebase,Sports,142.79
7,Fully-configurable regional middleware,Home & Kitchen,205.07
8,Ameliorated cohesive pricing structure,Beauty,301.86
9,Advanced global core,Electronics,78.57
10,Intuitive disintermediate installation,Clothing,316.11
11,Assimilated incremental infrastructure,Electronics,453.8
12,Progressive uniform standardization,Beauty,70.96
13,Progressive user-facing open system,Beauty,30.46
14,Optimized 24/7 core,Beauty,355.43
15,Intuitive mobile success,Clothing,53.94
16,Self-enabling disintermediate data-warehouse,Sports,472.23
17,Fully-configurable multi-tasking task-force,Sports,339.84
18,Stand-alone empowering core,Beauty,45.04
19,Re-contextualized coherent implementation,Beauty,180.91
20,Distributed uniform focus group,Electronics,86.94
21,Monitored incremental focus group,Electronics,397.21
22,Expanded background synergy,Electronics,59.15
23,Distributed radical monitoring,Electronics,226.38
24,Vision-oriented full-range adapter,Home & Kitchen,78.21
25,Front-line solution-oriented data-warehouse,Clothing,175.52
26,Enterprise-wide zero tolerance data-warehouse,Beauty,182.69
27,Cloned global open architecture,Home & Kitchen,38.1
28,Multi-layered responsive intranet,Clothing,242.71
29,Optional client-driven flexibility,Electronics,225.18
30,Cross-group bandwidth-monitored array,Sports,357.25
31,Upgradable demand-driven database,Clothing,169.22
32,Intuitive asynchronous product,Sports,108.18
33,Balanced explicit approach,Sports,384.16
34,Switchable maximized middleware,Clothing,134.4
35,Ameliorated grid-enabled pricing structure,Electronics,410.32
36,Balanced analyzing frame,Beauty,50.25
37,Monitored coherent flexibility,Sports,354.37
38,Horizontal optimal archive,Beauty,317.16
39,Organized empowering moratorium,Home & Kitchen,284.11
40,Organized intermediate projection,Electronics,390.15
41,Advanced incremental paradigm,Sports,41.31
42,Enterprise-wide multi-state access,Sports,408.3
43,Innovative executive access,Home & Kitchen,22.62
44,Managed dedicated implementation,Beauty,46.58
45,Down-sized 24/7 open architecture,Sports,234.82
46,Balanced multimedia process improvement,Electronics,306.21
47,Open-source content-based projection,Home & Kitchen,45.16
48,Re-contextualized contextually-based moratorium,Beauty,424.68
49,Customer-focused contextually-based groupware,Clothing,495.64
50,Streamlined hybrid matrix,Sports,497.89
51,Stand-alone reciprocal paradigm,Clothing,185.34
52,Polarized intangible superstructure,Sports,111.57
53,Business-focused national info-mediaries,Sports,493.72
54,Public-key upward-trending process improvement,Sports,118.02
55,Synergized logistical attitude,Clothing,329.8
56,Extended heuristic extranet,Beauty,189.05
57,User-friendly secondary toolset,Sports,225.85
58,Multi-lateral context-sensitive middleware,Electronics,20.84
59,Seamless stable capacity,Beauty,355.95
60,Re-engineered background access,Clothing,158.81
61,Function-based fresh-thinking project,Sports,359.64
62,Innovative explicit product,Home & Kitchen,466.1
63,Down-sized client-server customer loyalty,Home & Kitchen,94.39
64,Customizable real-time array,Clothing,142.89
65,Open-source regional orchestration,Home & Kitchen,127.37
66,User-centric next generation algorithm,Beauty,379.64
67,Future-proofed zero-defect Local Area Network,Electronics,401.38
68,Innovative fault-tolerant middleware,Electronics,32.27
69,User-friendly mobile database,Sports,57.06
70,Customizable logistical encryption,Electronics,159.99
71,Customer-focused context-sensitive synergy,Electronics,374.06
72,Up-sized encompassing encryption,Home & Kitchen,437.04
73,Robust demand-driven infrastructure,Beauty,387.14
74,Diverse intermediate circuit,Sports,400.73
75,Enhanced asymmetric utilization,Home & Kitchen,385.83
76,De-engineered asymmetric contingency,Beauty,426.76
77,Stand-alone full-range time-frame,Home & Kitchen,128.87
78,Multi-layered well-modulated model,Sports,270.01
79,Automated fresh-thinking neural-net,Beauty,141.3
80,Multi-lateral context-sensitive leverage,Beauty,451.49
81,Sharable next generation monitoring,Clothing,35.95
82,Innovative high-level help-desk,Beauty,369.1
83,Virtual exuding policy,Beauty,238.96
84,Ameliorated 4thgeneration workforce,Sports,367.52
85,Decentralized eco-centric process improvement,Clothing,492.59
86,Down-sized bandwidth-monitored database,Clothing,397.74
87,Digitized object-oriented synergy,Electronics,90.21
88,Grass-roots client-server matrices,Home & Kitchen,434.27
89,User-centric systemic service-desk,Sports,27.6
90,Pre-emptive reciprocal focus group,Clothing,214.08
91,Down-sized attitude-oriented methodology,Electronics,261.31
92,Enterprise-wide 5thgeneration structure,Beauty,332.79
93,Synergized optimal project,Clothing,341.85
94,Expanded even-keeled challenge,Beauty,241.54
95,Ameliorated executive attitude,Beauty,221.84
96,Reactive mission-critical analyzer,Electronics,305.97
97,Multi-layered high-level attitude,Clothing,384.42
98,Enhanced 3rdgeneration middleware,Clothing,173.14
99,Reduced national adapter,Beauty,494.94
100,Organized incremental access,Clothing,46.79
